Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
Skoda,Superb,2014,Sedan,91000.0,2000.0,Petrol,Automatic,13500.0
Renault,Grand Scenic,2011,Universal,214567.0,1500.0,Diesel,Manual,6650.0
Lexus,CT Series,2011,Hatchback,159000.0,1800.0,Petrol,Automatic,10399.0
Peugeot,Bipper,2010,Minivan,250000.0,104.0,Diesel,Manual,3700.0
Mercedes,Viano,2005,Universal,574000.0,2200.0,Diesel,Automatic,6800.0
Ford,Focus,2000,Sedan,202879.0,1600.0,Petrol,Manual,1899.0
Lexus,IS Series,2016,Sedan,87545.0,2000.0,Petrol,Automatic,16999.0
Opel,Vectra,1997,Universal,0.0,1800.0,Petrol,Manual,2200.0
Mercedes,GLK Class,2013,Crossover,172000.0,2200.0,Diesel,Automatic,18699.0
Mazda,6,2006,Universal,350000.0,1998.0,Diesel,Manual,4600.0
Toyota,Avensis,2004,Sedan,1.0,2000.0,Diesel,Manual,5490.0
Mazda,6,2006,Universal,350000.0,1998.0,Diesel,Manual,4600.0
Toyota,Avensis,2004,Sedan,1.0,2000.0,Diesel,Manual,5490.0
Subaru,Impreza,2010,Sedan,128000.0,2500.0,Petrol,Manual,10000.0
Toyota,Auris,2014,Universal,138000.0,1800.0,Hybrid,Automatic,11200.0
KIA,Stonic,2018,Crossover,174768.0,1582.0,Diesel,Automatic,13900.0
Volkswagen,Transporter,2004,Minivan,0.0,1900.0,Diesel,Manual,5800.0
Opel,Antara,2007,Crossover,300.0,2000.0,Diesel,Automatic,7800.0
BMW,3 Series,2000,Sedan,274622.0,2000.0,Diesel,Automatic,2750.0
Toyota,Yaris,2007,Hatchback,240000.0,1364.0,Diesel,Manual,4400.0
Skoda,Octavia,2014,Combi,152000.0,1400.0,Petrol,Manual,7799.0
Renault,Megane,2013,Hatchback,167000.0,1500.0,Diesel,Manual,5950.0
Mitsubishi,Galant,2008,Sedan,191000.0,2400.0,Metan/Propan,Automatic,5200.0
BMW,3 Series,2007,Sedan,264000.0,1995.0,Diesel,Manual,7800.0
Jaguar,Xf,2013,Sedan,120000.0,2000.0,Petrol,Automatic,16800.0
Hyundai,Grandeur,2016,Sedan,132370.0,2199.0,Diesel,Automatic,16500.0
Ford,S-Max,2010,Minivan,265000.0,2000.0,Diesel,Automatic,6500.0
Honda,CR-V,2013,SUV,100000.0,2200.0,Diesel,Automatic,17000.0
Toyota,Yaris,2006,Hatchback,232000.0,1400.0,Diesel,Manual,2750.0
Audi,A6,2016,Sedan,0.0,2000.0,Diesel,Automatic,14700.0
Chevrolet,Aveo,2013,Hatchback,168000.0,1300.0,Diesel,Manual,4650.0
Opel,Meriva,2012,Hatchback,152000.0,1300.0,Diesel,Manual,5750.0
Audi,A4,2008,Sedan,0.0,2000.0,Petrol,Automatic,4700.0
KIA,Sportage,2015,SUV,134953.0,1995.0,Diesel,Automatic,12800.0
Toyota,Rav 4,2007,Crossover,240000.0,1998.0,Metan/Propan,Automatic,9000.0
Toyota,Land Cruiser,2013,SUV,0.0,4500.0,Diesel,Automatic,28700.0
Porsche,Panamera,2015,Hatchback,60000.0,4800.0,Petrol,Automatic,58500.0
BMW,5 Series,2019,Sedan,0.0,2000.0,Petrol,Automatic,26500.0
Citroen,C3,2008,Cabriolet,100.0,1400.0,Diesel,Manual,3500.0
Audi,A4,2008,Sedan,0.0,2000.0,Diesel,Automatic,5200.0
Audi,A4,2016,Sedan,0.0,2000.0,Petrol,Automatic,14200.0
Lexus,RX Series,2014,SUV,90000.0,3500.0,Hybrid,Automatic,25000.0
BMW,5 Series,2008,Sedan,235000.0,200.0,Diesel,Automatic,11500.0
Chrysler,300c,2006,Sedan,1.0,2700.0,Petrol,Automatic,14900.0
Mitsubishi,Outlander,2006,SUV,330000.0,2400.0,Petrol,Automatic,5000.0
Toyota,Prius,2010,Hatchback,208000.0,1800.0,Petrol,Automatic,7899.0
Hyundai,Santa FE,2018,SUV,73622.0,2199.0,Diesel,Automatic,26720.0
Volvo,XC60,2012,Crossover,174000.0,200.0,Diesel,Manual,17100.0
Volkswagen,Passat,2017,Sedan,0.0,2000.0,Petrol,Automatic,9700.0
Toyota,Rav 4,2016,SUV,0.0,2000.0,Petrol,Automatic,11200.0
Lexus,RX Series,2013,Crossover,180000.0,2700.0,Petrol,Automatic,21500.0
Toyota,Aygo,2013,Hatchback,80000.0,1000.0,Petrol,Manual,4200.0
Mercedes,E Class,2014,Sedan,0.0,2000.0,Petrol,Automatic,10800.0
Renault,Grand Scenic,2013,Minivan,195000.0,1500.0,Diesel,Manual,7300.0
Toyota,Corolla,2005,Minivan,250000.0,1800.0,Metan/Propan,Manual,5700.0
Hyundai,Tucson,2017,SUV,160152.0,1995.0,Diesel,Automatic,15720.0
Audi,A4,2011,Sedan,0.0,2000.0,Diesel,Automatic,7400.0
Skoda,Superb,2015,Sedan,65600.0,2000.0,Diesel,Automatic,24000.0
Toyota,Auris,2015,Hatchback,200000.0,1400.0,Diesel,Manual,8650.0
Renault,ZOE,2019,Hatchback,2612.0,0.0,Electric,Automatic,16900.0
BMW,5 Series,2005,Sedan,280000.0,2200.0,Petrol,Manual,7499.0
Skoda,Yeti,2011,Crossover,170000.0,1200.0,Petrol,Manual,6700.0
Toyota,Land Cruiser Prado,2014,SUV,130000.0,2700.0,Petrol,Automatic,26000.0
Opel,Corsa,2012,Hatchback,138000.0,1248.0,Diesel,Manual,5100.0
Opel,Zafira,2008,Minivan,230000.0,1598.0,Metan/Propan,Manual,5700.0
Hyundai,Santa FE,2015,SUV,181313.0,1995.0,Diesel,Automatic,15610.0
Mercedes,Series (W124),1994,Sedan,33.0,2800.0,Petrol,Manual,3700.0
Honda,CR-V,2014,SUV,0.0,2000.0,Diesel,Manual,10800.0
BMW,X5,2007,SUV,210000.0,3000.0,Diesel,Automatic,7000.0
Toyota,Avensis,2005,Universal,310000.0,2000.0,Diesel,Manual,6000.0
KIA,Sorento,2016,SUV,166354.0,1995.0,Diesel,Automatic,17050.0
Opel,Zafira,2006,Minivan,186000.0,1800.0,Metan/Propan,Manual,6000.0
Toyota,Auris,2013,Hatchback,254000.0,1364.0,Diesel,Manual,8000.0
Nissan,Note,2013,Sedan,217500.0,1500.0,Diesel,Manual,5999.0
Skoda,Superb,2010,Sedan,175000.0,1900.0,Diesel,Manual,10580.0
Audi,Q5,2012,Crossover,181767.0,2000.0,Petrol,Automatic,15700.0
Volvo,XC60,2011,SUV,180000.0,2400.0,Diesel,Automatic,16650.0
Mitsubishi,Pajero Sport,2003,SUV,229000.0,3000.0,Metan/Propan,Automatic,7800.0
BMW,5 Series,2014,Sedan,150000.0,2000.0,Diesel,Automatic,20999.0
Vaz,2121niva,1989,Hatchback,101000.0,1600.0,Petrol,Manual,400.0
Honda,CR-V,2011,Minivan,126000.0,2200.0,Diesel,Automatic,15850.0
Toyota,Camry,2017,Sedan,54500.0,2500.0,Hybrid,Automatic,17500.0
Audi,Q3,2016,Crossover,50900.0,1998.0,Petrol,Automatic,19000.0
Volkswagen,Passat,2006,Sedan,400000.0,2000.0,Petrol,Manual,5500.0
Lexus,IS Series,2017,Sedan,50320.0,1998.0,Petrol,Automatic,23000.0
Honda,CR-V,2011,Minivan,126000.0,2200.0,Diesel,Automatic,15850.0
Toyota,Camry,2017,Sedan,54500.0,2500.0,Hybrid,Automatic,17500.0
Audi,Q3,2016,Crossover,50900.0,1998.0,Petrol,Automatic,19000.0
Volkswagen,Passat,2006,Sedan,400000.0,2000.0,Petrol,Manual,5500.0
Lexus,IS Series,2017,Sedan,50320.0,1998.0,Petrol,Automatic,23000.0
Nissan,Juke,2011,Crossover,200000.0,1500.0,Diesel,Manual,7000.0
Renault,Megane,2004,Hatchback,225332.0,1400.0,Petrol,Manual,2300.0
Renault,Megane,2006,Hatchback,260000.0,1500.0,Diesel,Manual,2950.0
BMW,5 Series,2009,Sedan,245000.0,2000.0,Diesel,Automatic,11999.0
Dacia,Logan Mcv,2009,Universal,190000.0,1500.0,Diesel,Manual,3599.0
Opel,Astra,2008,Hatchback,123000.0,1400.0,Petrol,Manual,3299.0
Toyota,Corolla,2007,Hatchback,190000.0,1400.0,Diesel,Automatic,4899.0
Volkswagen,Golf,2012,Universal,123000.0,1600.0,Diesel,Manual,5900.0
Audi,A5,2013,Coupe,102481.0,2000.0,Petrol,Automatic,15500.0
Honda,Clarity,2018,Sedan,24968.0,1500.0,Plug-in Hybrid,Automatic,16999.0
Renault,Megane,2008,Universal,190000.0,1500.0,Diesel,Manual,2799.0
Opel,Corsa,2016,Hatchback,10000.0,1400.0,Petrol,Automatic,3799.0
Volkswagen,Passat,2003,Sedan,1230000.0,1800.0,Metan/Propan,Manual,2800.0
Nissan,Note,2009,Universal,187000.0,1500.0,Diesel,Manual,3200.0
Honda,CR-V,2016,SUV,115000.0,2200.0,Diesel,Automatic,14500.0
Dacia,Logan,2012,Sedan,187000.0,1500.0,Diesel,Manual,2950.0
Renault,Megane,2013,Universal,187000.0,1500.0,Diesel,Manual,4500.0
Opel,Corsa,2006,Hatchback,187000.0,1300.0,Diesel,Automatic,2600.0
Chevrolet,Aveo,2008,Sedan,190000.0,1200.0,Metan/Propan,Manual,2250.0
Volkswagen,Touran,2015,Minivan,190000.0,2000.0,Diesel,Manual,5699.0
Toyota,Yaris,2009,Hatchback,122000.0,1400.0,Diesel,Automatic,3499.0
Opel,Astra,2006,Universal,163000.0,1600.0,Metan/Propan,Manual,2699.0
Volkswagen,Polo,2014,Hatchback,40000.0,1400.0,Petrol,Automatic,4699.0
Opel,Astra,2015,Sedan,40000.0,1600.0,Petrol,Automatic,5699.0
Toyota,Land Cruiser,2015,SUV,122000.0,4500.0,Diesel,Automatic,24500.0
BMW,7 Series,2007,Sedan,122000.0,4000.0,Metan/Propan,Automatic,9799.0
Volkswagen,Phaeton,2014,Sedan,40000.0,3000.0,Diesel,Automatic,6599.0
Land Rover,Range Rover Evoque,2015,SUV,40000.0,2200.0,Diesel,Automatic,7699.0
Toyota,Rav 4,2012,Crossover,190000.0,2200.0,Diesel,Automatic,7599.0
Audi,A5,2009,Coupe,144000.0,2700.0,Diesel,Automatic,3850.0
Toyota,Corolla,2002,Universal,432000.0,1600.0,Metan/Propan,Manual,2999.0
Hyundai,Tucson,2009,Crossover,201000.0,2000.0,Metan/Propan,Automatic,7600.0
BMW,5 Series,2002,Sedan,299000.0,2500.0,Diesel,Automatic,3800.0
Hyundai,i40,2012,Sedan,219326.0,1700.0,Diesel,Manual,8500.0
Lexus,Es Series,2013,Sedan,102000.0,2500.0,Hybrid,Automatic,16300.0
Nissan,Almera,2001,Hatchback,356000.0,1500.0,Metan/Propan,Manual,2600.0
Honda,CR-V,2013,Crossover,163000.0,2199.0,Diesel,Manual,15199.0
Ford,Focus,2015,Universal,183900.0,1500.0,Diesel,Manual,8450.0
Toyota,Yaris,2003,Hatchback,218000.0,1000.0,Petrol,Manual,1900.0
Volkswagen,Golf,2012,Hatchback,183000.0,1400.0,Petrol,Manual,7499.0
BMW,6 Series,2004,Cabriolet,100000.0,4500.0,Petrol,Automatic,11000.0
Renault,Megane,2010,Hatchback,210000.0,1500.0,Diesel,Manual,5500.0
Renault,Megane,2012,Minivan,212000.0,150.0,Diesel,Manual,5700.0
Dacia,Duster,2010,Hatchback,170000.0,1500.0,Diesel,Manual,7500.0
Audi,80,1992,Sedan,100000000.0,2000.0,Petrol,Manual,900.0
Skoda,Superb,2015,Sedan,166000.0,2000.0,Diesel,Automatic,18500.0
Opel,Corsa,2012,Sedan,194000.0,1300.0,Diesel,Manual,5000.0
Volkswagen,Golf,1996,Hatchback,350653.0,1600.0,Metan/Propan,Manual,1689.0
Ford,Focus,2015,Minivan,180000.0,1500.0,Diesel,Manual,7800.0
Dacia,Lodgy,2015,Universal,1.0,1500.0,Diesel,Manual,6790.0
Opel,Ascona,1984,Sedan,200000.0,1600.0,Petrol,Manual,11000.0
Toyota,Prius,2011,Hatchback,111111.0,1800.0,Petrol,Automatic,7300.0
Lexus,Es Series,2003,Sedan,161000.0,3000.0,Petrol,Automatic,6500.0
Volkswagen,Golf,1994,Universal,1111.0,1800.0,Petrol,Manual,1500.0
Skoda,Superb,2009,Sedan,230000.0,1400.0,Petrol,Manual,7900.0
Dacia,Logan,2009,Sedan,247355.0,1400.0,Metan/Propan,Manual,2900.0
Opel,Antara,2015,Microvan,150200.0,2200.0,Diesel,Automatic,7555.0
BMW,5 Series,2004,Sedan,310000.0,2500.0,Diesel,Automatic,8300.0
BMW,5 Series,2004,Sedan,310000.0,2500.0,Diesel,Automatic,8300.0
Toyota,Prius c,2014,Hatchback,112000.0,1500.0,Hybrid,Automatic,7499.0
BMW,X5,2005,SUV,280000.0,3000.0,Metan/Propan,Automatic,6949.0
Mercedes,Vito,2013,Microvan,115000.0,2200.0,Diesel,Manual,12700.0
Audi,A6,2016,Sedan,107000.0,2000.0,Petrol,Automatic,19999.0
Mercedes,CLS Class,2012,Universal,214000.0,2500.0,Diesel,Automatic,22222.0
Toyota,Prius c,2014,Hatchback,144000.0,1500.0,Hybrid,Automatic,7499.0
Renault,Clio,2018,Universal,10500.0,1500.0,Diesel,Manual,8149.0
BMW,X5,2016,SUV,140000.0,2000.0,Hybrid,Automatic,31499.0
Skoda,Fabia,2010,Universal,180000.0,1200.0,Diesel,Manual,4699.0
Volkswagen,Golf,2011,Hatchback,154258.0,1200.0,Petrol,Manual,6900.0
Skoda,Octavia,2009,Sedan,221000.0,1400.0,Petrol,Manual,6500.0
Nissan,Qashqai,2015,Crossover,135000.0,1598.0,Diesel,Automatic,15299.0
Mercedes,E Class,2004,Sedan,36500.0,3200.0,Diesel,Automatic,3450.0
Skoda,Superb,2015,Sedan,192000.0,2000.0,Diesel,Automatic,17999.0
Mercedes,M Class,2014,SUV,95000.0,2500.0,Diesel,Automatic,27900.0
Toyota,Corolla,2005,Hatchback,267000.0,1400.0,Diesel,Automatic,5100.0
Honda,Civic,1996,Hatchback,396.0,1400.0,Petrol,Manual,2200.0
Dacia,Duster,2012,SUV,200000.0,1500.0,Diesel,Manual,8000.0
Zaz,968,1980,Sedan,999999.0,900.0,Petrol,Manual,370.0
BMW,5 Series,1994,Sedan,99999.0,2500.0,Petrol,Manual,1500.0
Renault,Clio,1996,Hatchback,220000.0,1400.0,Petrol,Manual,750.0
Opel,Astra,2007,Universal,268333.0,1300.0,Diesel,Manual,3500.0
Ford,Focus,2000,Sedan,44444.0,2000.0,Petrol,Automatic,1500.0
Toyota,Verso,2011,Minivan,175000.0,2000.0,Diesel,Manual,8999.0
Toyota,Auris,2015,Universal,1.0,1400.0,Diesel,Manual,7950.0
Peugeot,207,2010,Hatchback,180000.0,1364.0,Diesel,Manual,4800.0
Mercedes,E Class,2014,Sedan,290000.0,2000.0,Metan/Propan,Automatic,15500.0
Toyota,Auris,2014,Universal,189000.0,1400.0,Diesel,Manual,8199.0
Skoda,Fabia,2009,Universal,201214.0,1400.0,Diesel,Manual,3950.0
Volkswagen,Transporter,2001,SUV,280521.0,2500.0,Diesel,Manual,5300.0
BMW,3 Series,1992,Sedan,236765.0,1800.0,Petrol,Manual,2500.0
Skoda,Octavia,2016,Hatchback,214257.0,1600.0,Diesel,Automatic,11999.0
Fiat,Doblo,2013,Universal,184000.0,1600.0,Diesel,Automatic,7700.0
Mini,Countryman,2014,Crossover,79370.0,1775.0,Petrol,Manual,18000.0
Renault,Megane,2013,Universal,223446.0,1461.0,Diesel,Manual,6799.0
Mercedes,E Class,2000,Universal,240000.0,2400.0,Petrol,Manual,1299.0
Dacia,Logan,2015,Universal,62000.0,1200.0,Petrol,Manual,6400.0
Vaz,2121niva,2004,Minivan,58150.0,1700.0,Petrol,Manual,3300.0
Nissan,Qashqai,2015,Crossover,1.0,1500.0,Diesel,Manual,11200.0
Nissan,Qashqai+2,2010,SUV,179999.0,1500.0,Diesel,Manual,7999.0
Honda,Civic,1998,Hatchback,270.0,1400.0,Petrol,Manual,2700.0
Renault,Scenic,2011,Minivan,170000.0,1500.0,Diesel,Manual,5950.0
Volkswagen,Caddy,2013,Combi,240000.0,2000.0,Diesel,Manual,6950.0
Skoda,Superb,2020,Sedan,50000.0,2000.0,Petrol,Automatic,38000.0
Fiat,Stilo,2004,Sedan,240000.0,1600.0,Petrol,Manual,3100.0
Toyota,Urban Cruiser,2009,SUV,170000.0,1400.0,Petrol,Manual,6990.0
Renault,Megane,2011,Universal,2.0,1600.0,Petrol,Manual,5300.0
Ford,Mondeo,2003,Hatchback,300.0,2000.0,Metan/Propan,Manual,2950.0
Renault,Grand Scenic,2012,Minivan,170000.0,1500.0,Diesel,Manual,7000.0
Suzuki,Vitara,1996,SUV,1.0,1600.0,Petrol,Manual,6000.0
Audi,A6,2009,Sedan,345000.0,2000.0,Petrol,Automatic,7500.0
Vaz,2104,1995,Universal,240000.0,1500.0,Metan/Propan,Manual,1650.0
Renault,Kadjar,2016,Crossover,125900.0,1500.0,Diesel,Automatic,12690.0
Mercedes,Sl Class,1995,Coupe,354000.0,2800.0,Metan/Propan,Automatic,7777.0
Volvo,V60,2013,Universal,155000.0,2000.0,Diesel,Manual,14500.0
Nissan,Pathfinder,2006,SUV,220000.0,2500.0,Diesel,Manual,6200.0
Peugeot,Expert,2003,Minivan,222222.0,2000.0,Diesel,Manual,1850.0
Toyota,Auris,2013,Universal,143000.0,1800.0,Petrol,Automatic,9450.0
BMW,5 Series,2008,Sedan,0.0,2000.0,Diesel,Automatic,5999.0
Subaru,Outback,2007,Universal,0.0,2000.0,Petrol,Automatic,4000.0
Volkswagen,Transporter,2005,Universal,160000.0,2400.0,Diesel,Manual,5438.0
BMW,5 Series,1995,Sedan,350000.0,1999.0,Petrol,Manual,2800.0
Toyota,Corolla,2008,Sedan,0.0,1400.0,Diesel,Manual,4200.0
Volkswagen,Transporter,2005,Universal,0.0,1900.0,Diesel,Manual,3400.0
Renault,Scenic,2008,Hatchback,0.0,1500.0,Diesel,Manual,1800.0
Volkswagen,Touran,2010,Minivan,201741.0,1400.0,Petrol,Manual,7199.0
Mercedes,E Class,2007,Universal,278352.0,3000.0,Diesel,Automatic,5900.0
Mercedes,CLA,2015,Sedan,78035.0,1991.0,Petrol,Automatic,15499.0
Vaz,2101,1989,Sedan,125000.0,1300.0,Petrol,Manual,7200.0
BMW,5 Series,2017,Sedan,39000.0,2000.0,Diesel,Automatic,35500.0
Dacia,Sandero,2010,Hatchback,238000.0,1500.0,Diesel,Manual,4050.0
Skoda,Fabia,2015,Universal,160000.0,1400.0,Diesel,Manual,7000.0
Audi,100,1992,Sedan,35000.0,2500.0,Diesel,Manual,3350.0
Toyota,Auris,2007,Hatchback,205000.0,1400.0,Diesel,Manual,5500.0
Toyota,Avensis,2012,Sedan,175660.0,2000.0,Diesel,Manual,11300.0
Seat,Ibiza,2011,Hatchback,167000.0,1200.0,Diesel,Manual,4100.0
Mitsubishi,Galant,1995,Sedan,312000.0,1800.0,Metan/Propan,Manual,1950.0
Skoda,Rapid,2015,Sedan,210000.0,1400.0,Diesel,Manual,7800.0
Mercedes,B Class,2016,Hatchback,180.0,1500.0,Diesel,Automatic,13499.0
Renault,Kadjar,2015,Crossover,149.0,1500.0,Diesel,Automatic,12950.0
Mercedes,Series (W124),1993,Sedan,308500.0,200.0,Metan/Propan,Manual,2600.0
BMW,5 Series,2011,Sedan,203000.0,2000.0,Diesel,Automatic,18400.0
Dacia,Sandero,2009,Hatchback,130000.0,1400.0,Petrol,Manual,3499.0
Audi,A6,2016,Sedan,62000.0,2000.0,Petrol,Automatic,20000.0
BMW,3 Series,1993,Sedan,250000.0,1800.0,Petrol,Manual,2499.0
Mitsubishi,Colt,2000,Coupe,64582976.0,1300.0,Petrol,Manual,1300.0
Audi,Q3,2020,Crossover,6000.0,1984.0,Petrol,Automatic,29999.0
Honda,CR-V,2010,Crossover,210000.0,2200.0,Diesel,Automatic,12800.0
Opel,Zafira,2008,Minivan,180500.0,1600.0,Metan/Propan,Manual,5300.0
Fiat,Punto,2001,Hatchback,340000.0,1910.0,Diesel,Manual,1100.0
Lexus,IS Series,2016,Sedan,175250.0,2494.0,Hybrid,Automatic,19700.0
Cadillac,Escalade,2004,SUV,1.0,5400.0,Metan/Propan,Automatic,25500.0
Skoda,Roomster,2012,Universal,188000.0,123.0,Diesel,Manual,4699.0
Mercedes,E Class,2004,Sedan,191900.0,2148.0,Diesel,Automatic,9300.0
Volkswagen,New Beetle,2000,Coupe,190.0,2000.0,Metan/Propan,Manual,2890.0
Toyota,Land Cruiser,2017,SUV,0.0,4500.0,Diesel,Automatic,41700.0
Volkswagen,Passat,2013,Sedan,0.0,2000.0,Diesel,Automatic,6800.0
Honda,CR-V,2013,SUV,0.0,2000.0,Petrol,Manual,10200.0
BMW,X5,2005,Crossover,11411.0,3000.0,Diesel,Automatic,7800.0
Nissan,Almera Tino,2005,Minivan,227000.0,1800.0,Petrol,Manual,2950.0
Ford,C-Max,2008,Crossover,180000.0,1800.0,Diesel,Manual,1900.0
Mercedes,E Class,2013,Sedan,120000.0,2200.0,Diesel,Automatic,13000.0
Toyota,Auris,2016,Hatchback,0.0,1800.0,Hybrid,Automatic,9800.0
Mercedes,E Class,2013,Sedan,0.0,2000.0,Petrol,Manual,9200.0
Vaz,2121niva,1981,SUV,0.0,1600.0,Petrol,Manual,3500.0
Toyota,Camry,2004,Sedan,300000.0,2400.0,Metan/Propan,Automatic,4500.0
BMW,7 Series,2017,Sedan,0.0,3000.0,Petrol,Automatic,31500.0
Renault,Talisman,2016,Sedan,92000.0,1495.0,Diesel,Manual,11500.0
Citroen,Berlingo,2006,Combi,190000.0,1400.0,Metan/Propan,Manual,3300.0
BMW,5 Series,2012,Sedan,0.0,2000.0,Diesel,Automatic,16300.0
BMW,3 Series,2000,Sedan,210564.0,2000.0,Diesel,Automatic,3250.0
Toyota,Avensis Verso,2004,Minivan,347.0,2000.0,Diesel,Manual,7000.0
Audi,Q5,2011,Crossover,99000.0,2000.0,Petrol,Automatic,15500.0
BMW,X5,2020,SUV,0.0,3000.0,Diesel,Automatic,48000.0
KIA,Niro,2017,Crossover,123378.0,1591.0,Hybrid,Automatic,14700.0
Mercedes,C Class,2012,Universal,235000.0,2200.0,Diesel,Manual,8500.0
Mercedes,GL Class,2010,SUV,220000.0,3500.0,Diesel,Automatic,25000.0
Nissan,Qashqai,2017,SUV,0.0,1500.0,Diesel,Automatic,10700.0
Toyota,Rav 4,2014,SUV,0.0,2000.0,Petrol,Manual,10800.0
Audi,A6,2013,Sedan,152000.0,1984.0,Petrol,Automatic,14000.0
BMW,3 Series,2013,Universal,187000.0,1995.0,Diesel,Manual,11300.0
Mercedes,C Class,1997,Sedan,400000.0,1998.0,Metan/Propan,Manual,3000.0
Honda,CR-V,2015,SUV,0.0,2000.0,Petrol,Automatic,11400.0
Subaru,Forester,2005,Crossover,240000.0,2500.0,Petrol,Automatic,6200.0
Ford,Excursion,2004,SUV,127000.0,6800.0,Petrol,Automatic,31000.0
Audi,A4,2014,Sedan,0.0,2000.0,Diesel,Manual,9700.0
Lexus,RX Series,2013,Crossover,222500.0,3500.0,Hybrid,Automatic,27000.0
Audi,A5,2011,Sedan,190000.0,2000.0,Petrol,Automatic,12800.0
Volkswagen,Golf,2011,Hatchback,169000.0,1400.0,Petrol,Manual,8800.0
Dacia,Logan,2009,Sedan,292800.0,1400.0,Metan/Propan,Manual,2800.0
Volkswagen,Golf,2006,Hatchback,221000.0,1896.0,Diesel,Manual,5199.0
Mercedes,B Class,2013,Hatchback,150000.0,1461.0,Diesel,Manual,9500.0
Audi,A4,1997,Sedan,5423788.0,1900.0,Diesel,Manual,2100.0
BMW,5 Series,1997,Sedan,407000.0,2490.0,Metan/Propan,Automatic,4100.0
BMW,5 Series,2003,Sedan,0.0,2500.0,Diesel,Automatic,6000.0
Mercedes,E Class,2012,Sedan,204000.0,1796.0,Petrol,Automatic,14999.0
Hyundai,i30,2008,Hatchback,214000.0,1400.0,Metan/Propan,Manual,4300.0
Renault,Kangoo,2003,Combi,2365.0,1900.0,Diesel,Manual,1750.0
Jeep,Grand Cherokee,2004,SUV,284000.0,2700.0,Diesel,Automatic,8200.0
Honda,CR-V,2008,Crossover,233000.0,2000.0,Petrol,Automatic,10500.0
Hyundai,i30,2008,Hatchback,214000.0,1400.0,Metan/Propan,Manual,4300.0
Renault,Kangoo,2003,Combi,2365.0,1900.0,Diesel,Manual,1750.0
Jeep,Grand Cherokee,2004,SUV,284000.0,2700.0,Diesel,Automatic,8200.0
Honda,CR-V,2008,Crossover,233000.0,2000.0,Petrol,Automatic,10500.0
Hyundai,i20,2015,Hatchback,142000.0,1100.0,Diesel,Manual,6300.0
Opel,Corsa,2003,Hatchback,200000.0,1200.0,Petrol,Automatic,2300.0
Renault,Laguna,2011,Sedan,195000.0,1500.0,Diesel,Manual,5300.0
Ford,Galaxy,2004,Minivan,300600.0,1900.0,Diesel,Manual,2399.0
Nissan,Qashqai,2007,Crossover,260000.0,1500.0,Diesel,Manual,6500.0
Mercedes,E Class,2012,Sedan,241777.0,1800.0,Metan/Propan,Automatic,11000.0
Opel,Zafira,2002,Minivan,220000.0,1800.0,Metan/Propan,Manual,2850.0
Renault,Kadjar,2017,SUV,129100.0,1500.0,Diesel,Automatic,12750.0
BMW,X5,2015,Crossover,169000.0,3000.0,Diesel,Automatic,41500.0
BMW,5 Series,2015,Sedan,130000.0,2500.0,Diesel,Automatic,25500.0
Lexus,NX Series,2014,Crossover,130000.0,2500.0,Hybrid,Automatic,28000.0
Nissan,Qashqai,2015,Crossover,173000.0,1500.0,Diesel,Manual,12100.0
Renault,Grand Scenic,2005,Microvan,200000.0,1500.0,Diesel,Manual,2999.0
Nissan,Qashqai,2017,Crossover,159000.0,1461.0,Diesel,Manual,14900.0
BMW,3 Series,2003,Universal,250000.0,300.0,Diesel,Manual,2000.0
Renault,Grand Scenic,2009,Minivan,192155.0,1400.0,Petrol,Manual,5800.0
Mercedes,GLK Class,2011,Crossover,158000.0,2150.0,Diesel,Automatic,12500.0
Nissan,Note,2012,Hatchback,141000.0,1500.0,Diesel,Manual,5100.0
Volkswagen,Golf,2015,Hatchback,98088.0,1800.0,Petrol,Manual,9999.0
Volkswagen,Bora,2000,Sedan,317000.0,1600.0,Petrol,Manual,3800.0
Mercedes,E Class,2015,Sedan,245000.0,2500.0,Diesel,Automatic,18700.0
Lexus,Es Series,2013,Sedan,160000.0,2500.0,Hybrid,Automatic,15900.0
Toyota,Prius,2008,Hatchback,222222.0,1600.0,Hybrid,Automatic,5500.0
Volvo,V60,2014,Universal,357000.0,2400.0,Plug-in Hybrid,Automatic,9000.0
BMW,6 Series,2006,Sedan,1.0,3000.0,Petrol,Automatic,10990.0
GAZ,3110,1999,Sedan,200.0,2400.0,Petrol,Manual,1500.0
Toyota,Altele,2006,Minivan,150.0,1400.0,Diesel,Automatic,5850.0
Ford,Fiesta,2011,Hatchback,221000.0,1400.0,Diesel,Manual,4699.0
Opel,Combo,2007,Universal,263000.0,1300.0,Diesel,Manual,3800.0
Toyota,Auris,2015,Universal,160600.0,1400.0,Diesel,Manual,9300.0
BMW,5 Series,1997,Sedan,250000.0,2000.0,Petrol,Manual,3350.0
Toyota,Aygo,2007,Hatchback,245000.0,1400.0,Diesel,Manual,3450.0
Renault,Scenic,2005,Microvan,222789.0,1500.0,Diesel,Manual,2999.0
Skoda,Fabia,2004,Universal,370000.0,1200.0,Metan/Propan,Manual,2850.0
Hyundai,Matrix,2005,Hatchback,270000.0,1500.0,Diesel,Manual,2650.0
Mercedes,Vito,2000,Minivan,299999.0,2200.0,Diesel,Manual,3999.0
Ford,Mondeo,1993,Sedan,299999.0,1600.0,Metan/Propan,Manual,1500.0
